"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Date Time Value","Event Length mm","Event Site Code Value","CTH Count"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/11/2024","","","8/11/2024 12:31:18 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/18/2024","","","8/18/2024 1:38:19 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/18/2024","","","8/18/2024 1:38:20 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/18/2024","","","8/18/2024 3:23:23 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/20/2024","","","8/20/2024 2:13:19 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/20/2024","","","8/20/2024 4:04:14 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/20/2024","","","8/20/2024 4:04:15 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/22/2024","","","8/22/2024 12:26:33 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/22/2024","","","8/22/2024 3:05:15 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/23/2024","","","8/23/2024 9:03:35 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/23/2024","","","8/23/2024 10:25:50 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/24/2024","","","8/24/2024 10:58:54 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/24/2024","","","8/24/2024 1:50:52 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/24/2024","","","8/24/2024 1:50:53 PM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/26/2024","","","8/26/2024 7:57:11 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 4:47:03 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 4:47:04 AM","","GRA","3"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:50:54 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:50:55 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:51:16 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:51:17 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:51:24 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:51:25 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 5:51:34 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 6:01:04 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 6:01:05 AM","","GRA","1"
"3DD.003BDB67AE","Observation","GRA - Lower Granite Dam Adult","8/28/2024","","","8/28/2024 6:01:12 AM","","GRA","1"
"3DD.003BDB67AE","Observation","ICH - Ice Harbor Dam (Combined)","7/18/2024","","","7/18/2024 3:00:02 PM","","ICH","1"
"3DD.003BDB67AE","Observation","ICH - Ice Harbor Dam (Combined)","7/18/2024","","","7/18/2024 3:00:03 PM","","ICH","1"
"3DD.003BDB67AE","Observation","ICH - Ice Harbor Dam (Combined)","7/18/2024","","","7/18/2024 3:00:20 PM","","ICH","1"
